titulo,preco,preco_antigo,desconto,link
"Samsung Book E20 Intel Dual-core, Windows10 Home, 4gb, 500gb",1.500,,,https://produto.mercadolivre.com.br/MLB-4281220451-samsung-book-e20-intel-dual-core-windows10-home-4gb-500gb-_JM?searchVariation=186668058276#polycard_client=search-desktop&searchVariation=186668058276&search_layout=grid&position=21&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Sucata Notbook Positivo/samsung Com Defeito,500,,,https://produto.mercadolivre.com.br/MLB-3935408555-sucata-notbook-positivosamsung-com-defeito-_JM?searchVariation=182556552986#polycard_client=search-desktop&searchVariation=182556552986&search_layout=grid&position=22&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Usado Samsung Rv 410 Preto,740,,,https://www.mercadolivre.com.br/notbook-usado-samsung-rv-410/up/MLBU3039190662#polycard_client=search-desktop&search_layout=grid&position=23&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB3986694359&sid=search
Notbook Lenovo I3,1.900,,,https://produto.mercadolivre.com.br/MLB-4373553447-notbook-lenovo-i3-_JM?searchVariation=188215448468#polycard_client=search-desktop&searchVariation=188215448468&search_layout=grid&position=24&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Lenovo E470,1.450,,,https://produto.mercadolivre.com.br/MLB-5646600308-notbook-lenovo-e470-_JM?searchVariation=190197824471#polycard_client=search-desktop&searchVariation=190197824471&search_layout=grid&position=25&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Hp Dv7 2185dx,350,,,https://produto.mercadolivre.com.br/MLB-4331485505-notbook-hp-dv7-2185dx-_JM?searchVariation=193495150453#polycard_client=search-desktop&searchVariation=193495150453&search_layout=grid&position=26&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Emachine Mod M5105- Reliquia P/ Peças Cinza,199,,,https://www.mercadolivre.com.br/notbook-emachine-mod-m5105-reliquia-p-pecas/up/MLBU3654819239#polycard_client=search-desktop&search_layout=grid&position=27&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4348233641&sid=search
Notbook Toshiba Satelite L20-173 P/peças Preto,199,,,https://www.mercadolivre.com.br/notbook-toshiba-satelite-l20173-ppecas/up/MLBU3343732730#polycard_client=search-desktop&search_layout=grid&position=28&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4147292405&sid=search
"Notbook Sansung Intel Core I5 8th Gen, Placa De Video Mx110",2.000,,,https://produto.mercadolivre.com.br/MLB-6297789358-notbook-sansung-intel-core-i5-8th-gen-placa-de-video-mx110-_JM?searchVariation=197365601649#polycard_client=search-desktop&searchVariation=197365601649&search_layout=grid&position=29&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Acer Aspire 5 12450h,3.100,,,https://produto.mercadolivre.com.br/MLB-6288437608-notbook-acer-aspire-5-12450h-_JM?searchVariation=197235586705#polycard_client=search-desktop&searchVariation=197235586705&search_layout=grid&position=30&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Samsung Galaxy Book S (integração Com Smartphone,3.900,,,https://produto.mercadolivre.com.br/MLB-6284411262-notbook-samsung-galaxy-book-s-integraco-com-smartphone-_JM?searchVariation=197228719943#polycard_client=search-desktop&searchVariation=197228719943&search_layout=grid&position=31&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Samsung Book E30 - I3 10110u 8gb 240ssd,1.900,,,https://produto.mercadolivre.com.br/MLB-4464939305-samsung-book-e30-i3-10110u-8gb-240ssd-_JM#polycard_client=search-desktop&search_layout=grid&position=32&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4464939305&sid=search
Notbook Thinkpad,1.400,,,https://produto.mercadolivre.com.br/MLB-4465464427-notbook-thinkpad-_JM?searchVariation=196853928633#polycard_client=search-desktop&searchVariation=196853928633&search_layout=grid&position=33&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Intel I7,1.349,,,https://produto.mercadolivre.com.br/MLB-4424332443-notbook-intel-i7-_JM?searchVariation=189441930120#polycard_client=search-desktop&searchVariation=189441930120&search_layout=grid&position=34&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Dell Inspiron 15 Série 3000,2.000,,,https://produto.mercadolivre.com.br/MLB-6179839544-notbook-dell-inspiron-15-serie-3000-_JM?searchVariation=195927611485#polycard_client=search-desktop&searchVariation=195927611485&search_layout=grid&position=35&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Dell - Eua,350,,,https://produto.mercadolivre.com.br/MLB-6225033518-notbook-dell-eua-_JM?searchVariation=196748339255#polycard_client=search-desktop&searchVariation=196748339255&search_layout=grid&position=36&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook I5 8 Gb Ram 480 Ssd,1.500,,,https://produto.mercadolivre.com.br/MLB-6225509952-notbook-i5-8-gb-ram-480-ssd-_JM?searchVariation=190206944302#polycard_client=search-desktop&searchVariation=190206944302&search_layout=grid&position=37&type=item&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98
Notbook Positivo N190i Cor Preto,2.500,,,https://www.mercadolivre.com.br/notbook-positivo-n190i-cor-preto/p/MLB43274050#polycard_client=search-desktop&search_layout=grid&position=38&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=&sid=search
